url,reason
https://www.scholarships.unsw.edu.au/scholarships/id/1668,"multiple award codes in eligibility: ['UGCA1060', 'UGCA1323']"
https://www.scholarships.unsw.edu.au/scholarships/id/1882,"multiple award codes in eligibility: ['UGCA1293', 'UGCA1615', 'UGCA1653']"
https://www.scholarships.unsw.edu.au/scholarships/id/1886,"multiple award codes in eligibility: ['UGCA1108', 'UGCA1109', 'UGCA1205', 'UGCA1392', 'UGCA1607', 'UGCE1079', 'UGCE1098']"
https://www.scholarships.unsw.edu.au/scholarships/id/1887,"multiple award codes in eligibility: ['UGCA1117', 'UGCA1446']"
https://www.scholarships.unsw.edu.au/scholarships/id/1889,"multiple award codes in eligibility: ['UGCA1383', 'UGCE1080']"
https://www.scholarships.unsw.edu.au/scholarships/id/1899/7088,"multiple award codes in eligibility: ['UGTR1011', 'UGTR1012', 'UGTR1015', 'UGTR1024', 'UGTR1044', 'UGTR1048', 'UGTR1049', 'UGTR1052']"
https://www.scholarships.unsw.edu.au/scholarships/id/1942,"multiple distinct amounts in eligibility: ['$2,500', '$5,000']"
https://www.scholarships.unsw.edu.au/scholarships/id/1949/7160,"multiple award codes in eligibility: ['UGCE1411', 'UGCE1534']"
https://www.scholarships.unsw.edu.au/scholarships/id/1957/7176,"multiple award codes in eligibility: ['PUCA1023', 'PUCA1024', 'PUCA1025', 'PUCA1028']"
